x,y
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6435032.871
8,3.80E+07
9,1.06E+08
10,1.54E+08
11,1.95E+08
12,2.36E+08
13,2.91E+08
14,3.48E+08
15,3.82E+08
16,4.16E+08
17,4.28E+08
18,4.40E+08
19,4.50E+08
20,4.55E+08
21,4.78E+08
22,4.83E+08
23,4.84E+08
24,4.86E+08
25,4.89E+08
26,4.97E+08
27,5.18E+08
28,5.29E+08
29,5.45E+08
30,5.74E+08
31,5.99E+08
32,6.17E+08
33,6.55E+08
34,6.69E+08
35,6.84E+08
36,7.00E+08
37,7.14E+08
38,7.19E+08
39,7.26E+08
40,7.26E+08
41,7.26E+08
42,7.27E+08
43,7.27E+08
44,7.27E+08
45,7.27E+08
46,7.27E+08
47,7.28E+08
48,7.28E+08
49,7.28E+08
50,7.28E+08
51,7.28E+08
52,7.28E+08
53,7.28E+08
54,7.28E+08
55,7.29E+08
56,7.29E+08
57,7.29E+08
58,7.42E+08
59,7.48E+08
60,7.48E+08
61,7.52E+08
62,7.52E+08
63,7.52E+08
64,7.52E+08
65,7.53E+08
66,7.53E+08
67,7.53E+08
68,7.53E+08
69,7.53E+08
70,7.53E+08
71,7.53E+08
72,7.53E+08
73,7.53E+08
74,7.53E+08
75,7.53E+08
76,7.54E+08
77,7.54E+08
78,7.54E+08
79,7.54E+08
80,7.54E+08
81,7.54E+08